130, 67, 1069
55, 191, 1000
-88, 255, 799
-88, 255, 799
-439, 233, 1125
-650, 349, 1142
-850, 264, 1155
-708, 370, 991
-578, 330, 826
-340, 219, 991
-338, 96, 1329
-338, 96, 1329
-445, 88, 1373
-446, 198, 1205
-526, 255, 1192
-654, 263, 1188
-636, 251, 1243
-481, 189, 1051
-50, 187, 693
388, 51, 588
388, 51, 588
663, -155, 451
923, -34, -9
1168, 90, -190
1258, -56, 32
1399, -366, 155
1399, -366, 155
1006, -193, 33
973, 30, 437
-,-,-
840, 43, 575
840, 43, 575
854, -51, 513
928, -19, 452
1037, -30, 334
1091, -54, 208
1046, -115, 369
910, -31, 392
910, -31, 392
907, 53, 392
748, -34, 440
478, 80, 559
478, 80, 559
253, 194, 944
90, 288, 991
34, 334, 913
-120, 278, 1062
-298, 329, 1148
-298, 329, 1148
-573, 441, 1194
-630, 538, 966
-573, 515, 1132
-442, 375, 1192
-166, 305, 953
31, 239, 943
42, 202, 1154
42, 202, 1154
-48, 267, 1256
-56, 322, 1078
-104, 324, 1132
-198, 291, 1213
-152, 267, 1026
-103, 225, 817
251, 93, 573
251, 93, 573
709, -109, 377
1086, -235, -56
1660, -584, -492
915, 121, -690
1226, 96, 19
1062, -77, 12
-,-,-
1055, -175, 270
1205, -145, 122
1210, -7, 9
1088, -34, -8
1029, -120, 24
676, -227, 399
676, -227, 399
345, 4, 755
97, 195, 1033
-188, 483, 1025
-317, 497, 904
-602, 384, 688
-602, 384, 688
-760, 451, 798
-947, 440, 1297
-851, 467, 1184
-777, 519, 1102
-743, 539, 1086
-696, 528, 1166
-664, 482, 1038
-627, 386, 1153
-414, 301, 1129
-196, 130, 870
-196, 130, 870
-26, 133, 598
390, 136, 127
961, 48, 74
1139, -299, 253
1353, -201, -33
1471, -103, -201
1192, -140, -224
1154, 47, 25
1154, 47, 25
971, -32, 368
-,-,-
823, 23, 581
887, 174, 381
887, 174, 381
935, 66, 465
885, -97, 497
920, 12, 444
1017, 35, 356
1017, 35, 356
1097, -55, 290
1260, -125, 73
1254, -231, 35
1026, -141, 201
533, 22, 116
533, 22, 116
294, 291, 524
160, 185, 861
-51, 253, 1177
-335, 382, 978
-430, 544, 518
-801, 493, 604
-801, 493, 604
-1005, 653, 998
-1301, 657, 1228
-1139, 738, 931
-1001, 729, 848
-923, 639, 862
-818, 576, 825
-690, 461, 997
-513, 292, 1037
-240, 220, 915
-240, 220, 915
67, 140, 510
400, 109, 395
666, -67, 294
1123, -183, 438
1146, -274, 59
1239, -108, 17
1239, -108, 17
1333, -99, 94
1137, -248, -178
1067, 24, 243
899, 0, 503
804, -72, 687
-,-,-
847, -33, 574
847, -33, 574
954, -31, 462
1178, -71, 195
1188, -179, 143
1242, -225, 30
1141, -209, 201
558, -138, 217
558, -138, 217
211, 260, 693
43, 362, 800
-167, 440, 903
-426, 491, 944
-667, 534, 817
-839, 528, 615
-839, 528, 615
-945, 651, 910
-957, 600, 1063
-960, 575, 1071
-804, 547, 950
-657, 544, 992
-630, 516, 1114
-658, 505, 993
-542, 510, 817
-542, 510, 817
-455, 428, 962
-309, 367, 967
-114, 179, 655
202, 140, 466
635, -40, 307
1152, -285, 451
1152, -285, 451
1148, -233, 43
1271, -34, -74
1247, -37, 12
1237, -280, -112
1084, 23, 168
-,-,-
881, 14, 560
882, 34, 494
882, 34, 494
823, 63, 511
809, 54, 539
814, 57, 603
814, 57, 603
929, 49, 489
1093, -49, 318
1086, -109, 257
1165, -90, 145
1106, -110, 219
1106, -110, 219
726, -140, 259
314, 121, 619
171, 228, 914
-75, 326, 1076
-230, 425, 1054
-361, 407, 765
-619, 395, 931
-619, 395, 931
-860, 357, 1440
-755, 381, 1219
-624, 440, 959
-533, 479, 1062
-409, 373, 1085
-318, 277, 1152
-299, 278, 1151
-203, 322, 1167
-192, 277, 1178
-186, 258, 984
-186, 258, 984
50, 226, 506
404, 162, 524
701, -67, 705
840, -207, 472
999, 75, 29
999, 75, 29
1187, 90, 213
1082, -115, 129
1267, -155, 286
-,-,-
820, -22, 567
880, 75, 551
880, 75, 551
859, 32, 528
827, 58, 570
871, 58, 477
871, 58, 477
1100, 2, 248
1236, -173, 155
1121, -193, 190
986, -28, 379
727, -24, 320
727, -24, 320
460, 103, 235
236, 261, 798
-89, 229, 1165
-280, 432, 1201
-360, 559, 772
-560, 504, 697
-560, 504, 697
-860, 444, 1152
-944, 500, 1163
-827, 513, 1010
-597, 545, 940
-343, 463, 807
-132, 389, 848
-132, 311, 1005
-216, 319, 1231
-379, 374, 1198
-357, 426, 1113
-357, 426, 1113
-385, 376, 1196
-256, 285, 965
-24, 241, 815
180, 58, 655
612, -32, 741
767, -200, 475
767, -200, 475
913, 29, 59
1146, 149, 179
1039, -111, 180
